method,param,k,recall_at_k,coarse_recall_at_k,mean_cand_size,lat_p50_ms,lat_p95_ms,build_s
sfc,100,1,0.27,0.27,199,0.267,0.435,1.84
sfc,100,10,0.2203,0.2203,199,0.267,0.435,1.84
sfc,100,100,0.1424,0.1424,199,0.267,0.435,1.84
sfc,250,1,0.34,0.34,496,0.431,0.575,1.84
sfc,250,10,0.296,0.296,496,0.431,0.575,1.84
sfc,250,100,0.216,0.216,496,0.431,0.575,1.84
sfc,500,1,0.3867,0.3867,989,0.691,0.978,1.84
sfc,500,10,0.3533,0.3533,989,0.691,0.978,1.84
sfc,500,100,0.2695,0.2695,989,0.691,0.978,1.84
sfc,1000,1,0.47,0.47,1967,1.431,1.674,1.84
sfc,1000,10,0.4317,0.4317,1967,1.431,1.674,1.84
sfc,1000,100,0.3448,0.3448,1967,1.431,1.674,1.84
sfc,2000,1,0.56,0.56,3886,2.907,3.608,1.84
sfc,2000,10,0.513,0.513,3886,2.907,3.608,1.84
sfc,2000,100,0.4249,0.4249,3886,2.907,3.608,1.84
faiss_flat,,1,1.0,,,5.515,7.385,0.053
faiss_flat,,10,1.0,,,5.515,7.385,0.053
faiss_flat,,100,1.0,,,5.515,7.385,0.053
faiss_hnsw,16,1,0.9833,,,0.191,0.333,30.887
faiss_hnsw,16,10,0.957,,,0.191,0.333,30.887
faiss_hnsw,16,100,0.7372,,,0.191,0.333,30.887
faiss_hnsw,32,1,0.9933,,,0.258,0.365,30.887
faiss_hnsw,32,10,0.989,,,0.258,0.365,30.887
faiss_hnsw,32,100,0.8777,,,0.258,0.365,30.887
faiss_hnsw,64,1,1.0,,,0.367,0.473,30.887
faiss_hnsw,64,10,0.9987,,,0.367,0.473,30.887
faiss_hnsw,64,100,0.9614,,,0.367,0.473,30.887
faiss_hnsw,128,1,1.0,,,0.579,0.776,30.887
faiss_hnsw,128,10,0.9993,,,0.579,0.776,30.887
faiss_hnsw,128,100,0.9909,,,0.579,0.776,30.887
faiss_hnsw,256,1,1.0,,,1.002,1.276,30.887
faiss_hnsw,256,10,0.9997,,,1.002,1.276,30.887
faiss_hnsw,256,100,0.9985,,,1.002,1.276,30.887
